pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Z jakiego dnia pochodzi ustawa o ochronie przyrody?,16 kwietnia 2004 r.,27 kwietnia 2001 r.,3 października 2008 r.,28 września 1991 r.,1,"Tytuł ustawy wskazuje, że została uchwalona 16 kwietnia 2004 r."
Co określa ustawa o ochronie przyrody zgodnie z art. 1?,Wyłącznie zasady ochrony lasów.,"Cele, zasady i formy ochrony przyrody żywej i nieożywionej oraz krajobrazu.",Wyłącznie zasady ochrony gatunkowej zwierząt.,Zasady gospodarowania odpadami i wodami.,2,"Art. 1 określa zakres ustawy jako cele, zasady i formy ochrony przyrody żywej i nieożywionej oraz krajobrazu."
Na czym polega ochrona przyrody w rozumieniu ustawy?,Wyłącznie na całkowitym zakazie ingerencji człowieka.,Na ochronie wyłącznie gatunków zagrożonych.,"Na zachowaniu, zrównoważonym użytkowaniu oraz odnawianiu zasobów, tworów i składników przyrody.",Na ochronie jedynie terenów objętych formami obszarowymi.,3,"Art. 2 ust. 1 wskazuje zachowanie, zrównoważone użytkowanie i odnawianie jako podstawowe elementy ochrony przyrody."
Jak ustawa definiuje różnorodność biologiczną?,Jako liczbę gatunków chronionych na danym obszarze.,Jako liczbę siedlisk Natura 2000 w województwie.,Jako stopień naturalności krajobrazu.,"Jako zróżnicowanie żywych organizmów w ekosystemach, w obrębie gatunku i między gatunkami oraz zróżnicowanie ekosystemów.",4,Definicja obejmuje zróżnicowanie organizmów na kilku poziomach oraz zróżnicowanie ekosystemów.
Czym jest korytarz ekologiczny?,"Obszarem umożliwiającym migrację roślin, zwierząt lub grzybów.",Obszarem przeznaczonym wyłącznie do ruchu turystycznego.,Pasem zieleni o szerokości co najmniej 100 m.,Wyłącznie trasą migracji zwierząt łownych.,1,"Ustawa definiuje korytarz ekologiczny jako obszar umożliwiający migrację roślin, zwierząt lub grzybów."
Na czym polega ochrona ex situ?,Na ochronie wyłącznie w miejscu naturalnego występowania.,"Na ochronie gatunków poza miejscem ich naturalnego występowania oraz ochronie skał, skamieniałości i minerałów w miejscach przechowywania.",Na całkowitym zakazie ingerencji w ekosystem.,Na ochronie jedynie krajobrazu kulturowego.,2,Ochrona ex situ oznacza ochronę poza naturalnym miejscem występowania.
Na czym polega ochrona in situ?,Na ochronie gatunków wyłącznie w ogrodach zoologicznych.,Na przechowywaniu materiału genetycznego w bankach genów.,Na ochronie gatunków i elementów przyrody nieożywionej w miejscach ich naturalnego występowania.,Na ochronie wyłącznie poza granicami kraju.,3,Ochrona in situ odbywa się w miejscach naturalnego występowania chronionych elementów przyrody.
Co oznacza ochrona ścisła?,Okresowe ograniczenie działalności gospodarczej.,Ochronę prowadzoną wyłącznie przez działania pielęgnacyjne.,Ochronę wyłącznie gatunków w okresie rozrodu.,"Całkowite i trwałe zaniechanie bezpośredniej ingerencji człowieka w stan ekosystemów, tworów i składników przyrody oraz przebieg procesów przyrodniczych.",4,Definicja ochrony ścisłej opiera się na trwałym zaniechaniu bezpośredniej ingerencji człowieka.
Które określenie najlepiej odpowiada ustawowej definicji drzewa?,Wieloletnia roślina o zdrewniałym jednym pędzie głównym albo kilku pędach głównych i gałęziach tworzących koronę.,Każda roślina zdrewniała wyższa niż 2 m.,Wieloletnia roślina rozgałęziająca się na wiele równorzędnych pędów bez pnia i korony.,Każda roślina o obwodzie pnia powyżej 50 cm.,1,Ustawa definiuje drzewo przez zdrewniały pień lub pędy główne oraz gałęzie tworzące koronę.
Które określenie najlepiej odpowiada ustawowej definicji krzewu?,Każda roślina drzewiasta niższa niż 5 m.,"Wieloletnia roślina rozgałęziająca się na wiele równorzędnych zdrewniałych pędów, nietworząca pnia ani korony i niebędąca pnączem.",Roślina z jednym zdrewniałym pniem i koroną.,Każde skupisko co najmniej trzech roślin zdrewniałych.,2,Definicja krzewu wskazuje wiele równorzędnych zdrewniałych pędów oraz brak pnia i korony.
