pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Co reguluje Kodeks postępowania administracyjnego w zakresie spraw indywidualnych?,Postępowanie przed organami administracji publicznej w sprawach rozstrzyganych decyzją administracyjną albo załatwianych milcząco,Wyłącznie postępowanie sądowoadministracyjne,Wyłącznie postępowanie podatkowe,Wyłącznie postępowanie cywilne,1,Art. 1 pkt 1 KPA obejmuje sprawy indywidualne rozstrzygane decyzją administracyjną albo załatwiane milcząco.
Czy KPA reguluje postępowanie w sprawach wydawania zaświadczeń?,Nie,Tak,Tylko w gminach,Wyłącznie gdy zaświadczenie wydaje wojewoda,2,Art. 1 pkt 4 KPA obejmuje postępowanie w sprawach wydawania zaświadczeń.
Czy KPA reguluje administracyjne kary pieniężne?,Nie,Wyłącznie kary podatkowe,"Tak, w zakresie ich nakładania lub wymierzania oraz ulg w wykonaniu",Tylko kary nakładane przez sądy,3,Art. 1 pkt 5 KPA obejmuje administracyjne kary pieniężne i ulgi w ich wykonaniu.
Czy KPA reguluje postępowanie w sprawie skarg i wniosków?,Nie,Wyłącznie skargi,Wyłącznie wnioski,Tak,4,Art. 2 KPA przewiduje postępowanie w sprawie skarg i wniosków.
Czy KPA stosuje się do postępowania w sprawach karnych skarbowych?,Nie,Tak,Tylko w pierwszej instancji,Tylko do terminów,1,Art. 3 § 1 pkt 1 wyłącza postępowanie w sprawach karnych skarbowych.
Czy KPA co do zasady stosuje się do spraw uregulowanych Ordynacją podatkową?,Tak w całości,"Nie, z wyjątkiem wskazanych działów KPA",Tak tylko w gminach,Wyłącznie do decyzji podatkowych,2,"Art. 3 § 1 pkt 2 wyłącza te sprawy, z wyjątkiem działów IV i VIII."
Na jakiej podstawie działają organy administracji publicznej?,Na podstawie uznania urzędnika,Wyłącznie na podstawie uchwał organów samorządu,Na podstawie przepisów prawa,Na podstawie zwyczaju administracyjnego,3,Art. 6 ustanawia zasadę praworządności.
Co powinien zrobić organ dla dokładnego wyjaśnienia stanu faktycznego?,Ograniczyć się wyłącznie do dowodów strony,Zawsze powołać biegłego,Zawsze przeprowadzić rozprawę,Podejmować z urzędu lub na wniosek stron wszelkie niezbędne czynności,4,Art. 7 nakazuje podejmować niezbędne czynności dla dokładnego wyjaśnienia stanu faktycznego.
Jakie interesy organ ma na względzie przy załatwianiu sprawy zgodnie z art. 7 KPA?,Interes społeczny i słuszny interes obywateli,Wyłącznie interes organu,Wyłącznie interes Skarbu Państwa,Tylko interes większości stron,1,Art. 7 wymaga uwzględniania interesu społecznego i słusznego interesu obywateli.
Kiedy wątpliwości co do treści normy prawnej rozstrzyga się na korzyść strony?,Zawsze w każdej sprawie,"Gdy postępowanie dotyczy nałożenia obowiązku albo ograniczenia lub odebrania uprawnienia, z ustawowymi wyjątkami",Nigdy,Wyłącznie w sprawach podatkowych,2,Art. 7a § 1 wprowadza zasadę rozstrzygania określonych wątpliwości prawnych na korzyść strony.
