pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Z jakiego dnia pochodzi ustawa – Prawo budowlane?,7 lipca 1994 r.,16 kwietnia 2026 r.,19 marca 2026 r.,27 marca 2026 r.,1,"Ustawa została uchwalona 7 lipca 1994 r.; pozostałe daty dotyczą obwieszczenia, publikacji lub stanu tekstu jednolitego."
Jakiego stanu prawnego dotyczy tekst jednolity ogłoszony w Dz. U. z 2026 r. poz. 524?,Stanu na 3 czerwca 2026 r.,Stanu na 27 marca 2026 r.,Stanu na 16 kwietnia 2026 r.,Stanu na 19 marca 2026 r.,4,"Obwieszczenie z 27 marca 2026 r. podaje stan prawny na 19 marca; późniejsze daty dotyczą wydania, publikacji lub wejścia w życie zmian."
Który zestaw spraw obejmuje Prawo budowlane?,"Projektowanie, budowę, utrzymanie i rozbiórkę obiektów budowlanych.","Utrzymanie i rozbiórkę obiektów, ale bez zasad prowadzenia budowy.","Wydawanie decyzji budowlanych i nadzór, bez zasad projektowania obiektów.","Projektowanie i budowę obiektów, ale bez reguł ich utrzymania i rozbiórki.",1,Art. 1 obejmuje cały cykl życia obiektu oraz zasady działania organów w tych sprawach.
Których obiektów Prawo budowlane nie obejmuje wprost swoim zakresem?,Obiektów wpisanych do rejestru zabytków.,Wyrobisk górniczych.,Urządzeń wodnych.,Obiektów budowlanych zakładów górniczych.,2,Art. 2 ust. 1 wyłącza wyrobiska górnicze. W pozostałych przypadkach ustawę stosuje się z uwzględnieniem przepisów odrębnych.
Jaka jest relacja Prawa budowlanego do przepisów o ochronie zabytków?,Ochrona zabytków zastępuje Prawo budowlane przy każdym obiekcie w gminie.,Prawo budowlane nie narusza przepisów o ochronie zabytków dotyczących wskazanych obiektów i obszarów.,Przepisy o ochronie zabytków stosuje się dopiero po zakończeniu budowy.,Prawo budowlane całkowicie wyłącza ustawę o ochronie zabytków przy robotach budowlanych.,2,Art. 2 ust. 2 pkt 3 zachowuje stosowanie przepisów o zabytkach m.in. dla obiektów wpisanych do rejestru i chronionych planem miejscowym.
Jak Prawo budowlane definiuje pojęcie „budynek”?,"Obiekt z fundamentami i dachem, który można przenieść w inne miejsce.","Obiekt wydzielony przegrodami i mający dach, nawet bez fundamentów.","Obiekt trwale związany z gruntem, wydzielony przegrodami, z fundamentami i dachem.",Każdy obiekt z instalacjami umożliwiającymi użytkowanie zgodne z przeznaczeniem.,3,"Art. 3 pkt 2 wymaga łącznie trwałego związania z gruntem, przegród budowlanych, fundamentów i dachu."
Jak Prawo budowlane definiuje pojęcie „budowa”?,"Wykonanie obiektu w określonym miejscu oraz jego odbudowę, rozbudowę i nadbudowę.",Wyłącznie wzniesienie zupełnie nowego obiektu na niezabudowanej działce.,Wykonanie obiektu w określonym miejscu oraz każdy jego remont i rozbiórkę.,Każdą zmianę parametrów technicznych obiektu bez zmiany jego bryły.,1,"Art. 3 pkt 6 zalicza do budowy także odbudowę, rozbudowę i nadbudowę; remont i rozbiórka są innymi robotami budowlanymi."
Jak Prawo budowlane definiuje pojęcie „roboty budowlane”?,"Budowa, przebudowa i remont, bez montażu oraz rozbiórki.","Projektowanie, budowa i utrzymanie obiektu, bez jego rozbiórki.","Budowa oraz przebudowa, montaż, remont i rozbiórka obiektu.","Budowa, montaż i konserwacja bieżąca zamiast remontu.",3,"Art. 3 pkt 7 obejmuje wskazane pięć rodzajów działań, niezależnie od trybu formalnego ich prowadzenia."
Czym różni się remont od bieżącej konserwacji według Prawa budowlanego?,Remont zawsze zmienia podstawowe parametry użytkowe lub techniczne obiektu.,Remont odtwarza stan pierwotny w istniejącym obiekcie i nie jest bieżącą konserwacją.,Remont polega wyłącznie na rozbiórce i ponownym wzniesieniu obiektu.,Remont wymaga zastosowania dokładnie tych samych wyrobów co wcześniej.,2,"Art. 3 pkt 8 mówi o odtworzeniu stanu pierwotnego; można użyć innych wyrobów, a bieżąca konserwacja nie jest remontem."
Co jest zasadniczą cechą przebudowy obiektu budowlanego?,Powiększenie kubatury albo liczby kondygnacji istniejącego obiektu.,Rozebranie obiektu i wykonanie go od nowa w tym samym miejscu.,Zmiana parametrów użytkowych lub technicznych bez zmiany jego charakterystycznych parametrów.,Odtworzenie stanu pierwotnego bez zmiany parametrów użytkowych i technicznych.,3,Art. 3 pkt 7a odróżnia przebudowę od remontu i rozbudowy; co do zasady nie zmienia się m.in. kubatura ani liczba kondygnacji.
